"season","player","jersey","opponent","data","player_squish","solo","ast","tot","tfl_yds","tfl","sack_yds","sacks","ff","fr_yds","fumbl","int","int_1","brup","blkd","qh","team","game_id","class","school","position","height","weight","hometown","highschool","hometown_hs","url"
2009,"Kyle Hansen",17,"Pomona-Pitzer","defense","kyle hansen","2","1","3","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home",7494,"Fr.",NA,"DB","6-2",NA,NA,NA,"Issaquah, WA / Issaquah","https://cmsathletics.org/sports/football/roster/2009?view=2"
2009,"Corey Bickler",20,"Pomona-Pitzer","defense","corey bickler","-","1","1","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home",7494,"Fr.",NA,"RB","5-10",NA,NA,NA,"Salem, OR / South Salem","https://cmsathletics.org/sports/football/roster/2009?view=2"
2009,"Jackie Coburn",23,"Pomona-Pitzer","defense","jackie coburn","1","-","1","1.0/4","1.0","-/-","-","-","0-0","-/-","-","-","-","-","-","home",7494,"Fr.",NA,"DB","6-2",NA,NA,NA,"Beaverton, OR / Beaverton","https://cmsathletics.org/sports/football/roster/2009?view=2"
2009,"Brock Olson",26,"Pomona-Pitzer","defense","brock olson","6","1","7","1.5/4","1.5","-/-","-","-","0-0","-/-","2-14","2","-","-","-","home",7494,"Sr.",NA,"DB","5-11",NA,NA,NA,"Lake Oswego, OR / Lakeridge","https://cmsathletics.org/sports/football/roster/2009?view=2"
2009,"Patrick Atwater",31,"Pomona-Pitzer","defense","patrick atwater","4","3","7","1.0/3","1.0","-/-","-","-","0-0","-/-","-","-","-","-","-","home",7494,"Sr.",NA,"LB","6-1",NA,NA,NA,"La Canada / Cresenta Valley","https://cmsathletics.org/sports/football/roster/2009?view=2"
2009,"Landon Patoc",37,"Pomona-Pitzer","defense","landon patoc","3","-","3","-/-","-","-/-","-","-","0-0","-/-","-","-","3","-","-","home",7494,"Sr.",NA,"DB","5-7",NA,NA,NA,"Honolulu, HI / Iolani School","https://cmsathletics.org/sports/football/roster/2009?view=2"
2009,"David Henningsen",48,"Pomona-Pitzer","defense","david henningsen","2","-","2","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home",7494,"So.",NA,"LB","5-9",NA,NA,NA,"Oak Park / Oak Park","https://cmsathletics.org/sports/football/roster/2009?view=2"
2009,"Sae Bin Park",51,"Pomona-Pitzer","defense","sae bin park","-","1","1","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home",7494,"So.",NA,"LB","5-8",NA,NA,NA,"Los Angeles / Beverly Hills","https://cmsathletics.org/sports/football/roster/2009?view=2"
2009,"Matt Laredo",55,"Pomona-Pitzer","defense","matt laredo","-","1","1","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home",7494,"So.",NA,"LB","5-11",NA,NA,NA,"Pacific Grove / Pacific Grove","https://cmsathletics.org/sports/football/roster/2009?view=2"
2009,"Ben Salzman",56,"Pomona-Pitzer","defense","ben salzman","-","1","1","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home",7494,"So.",NA,"LB","5-11",NA,NA,NA,"Calabasas / Viewpoint School","https://cmsathletics.org/sports/football/roster/2009?view=2"
2009,"Dylan Marcoot",57,"Pomona-Pitzer","defense","dylan marcoot","1","3","4","1.5/6","1.5","-/-","-","-","0-0","-/-","-","-","-","-","-","home",7494,"Fr.",NA,"DL","6-1",NA,NA,NA,"Keenesburg, CO / Weld Central","https://cmsathletics.org/sports/football/roster/2009?view=2"
2009,"Ed Mills",78,"Pomona-Pitzer","defense","ed mills","2","1","3","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","1","home",7494,"So.",NA,"DL","6-3",NA,NA,NA,"Bellevue, WA / Bellevue","https://cmsathletics.org/sports/football/roster/2009?view=2"
2009,"Daniel Andrew",95,"Pomona-Pitzer","defense","daniel andrew","-","3","3","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home",7494,"So.",NA,"DL","5-11",NA,NA,NA,"Westport, CT / Staples","https://cmsathletics.org/sports/football/roster/2009?view=2"
2009,"Eric Yingling",99,"Pomona-Pitzer","defense","eric yingling","-","-","-","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","1","home",7494,"So.",NA,"DL","6-0",NA,NA,NA,"Gages Lake, IL / Round Lake","https://cmsathletics.org/sports/football/roster/2009?view=2"
2009,"Alpha Anders",NA,"Pomona-Pitzer","defense","alpha anders","1","2","3","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","away",7494,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,"Bobby Montalvo",NA,"Pomona-Pitzer","defense","bobby montalvo","1","3","4","-/-","-","-/-","-","-","0-0","-/-","1-50","1","1","-","-","away",7494,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,"Bryan Opritza",NA,"Pomona-Pitzer","defense","bryan opritza","3","5","8","1.0/2","1.0","-/-","-","-","0-0","-/-","-","-","-","-","-","away",7494,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,"Charles Sander",NA,"Pomona-Pitzer","defense","charles sander","3","1","4","-/-","-","-/-","-","-","0-1","1/-","-","-","-","-","-","away",7494,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,"Charles Sarosy",NA,"Pomona-Pitzer","defense","charles sarosy","1","-","1","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home",7494,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,"Colin Regan",NA,"Pomona-Pitzer","defense","colin regan","1","-","1","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","away",7494,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,"Donald Hamnett",NA,"Pomona-Pitzer","defense","donald hamnett","1","-","1","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","away",7494,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,"Jacob Kaplan",NA,"Pomona-Pitzer","defense","jacob kaplan","2","-","2","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","away",7494,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,"Jacob Rollins",NA,"Pomona-Pitzer","defense","jacob rollins","4","5","9","-/-","-","-/-","-","-","0-1","1/30","-","-","1","-","-","away",7494,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,"Jimmy Lieber",NA,"Pomona-Pitzer","defense","jimmy lieber","1","-","1","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","away",7494,NA,NA,NA,NA,NA,NA,NA,NA,NA
